"Plot Title: 10.clibrate"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9786042, SEN S/N: 9786042)","Coupler Attached (LGR S/N: 9786042)","Host Connected (LGR S/N: 9786042)","Stopped (LGR S/N: 9786042)","End Of File (LGR S/N: 9786042)"
1,2020/12/23 02:00:00 PM,74.446,,,,
2,2020/12/23 02:30:00 PM,55.189,,,,
3,2020/12/23 03:00:00 PM,42.915,,,,
4,2020/12/23 03:30:00 PM,38.250,,,,
5,2020/12/23 04:00:00 PM,36.145,,,,
6,2020/12/23 04:30:00 PM,35.175,,,,
7,2020/12/23 05:00:00 PM,35.175,,,,
8,2020/12/23 05:30:00 PM,35.175,,,,
9,2020/12/23 06:00:00 PM,35.175,,,,
10,2020/12/23 06:30:00 PM,35.370,,,,
11,2020/12/23 07:00:00 PM,34.981,,,,
12,2020/12/23 07:30:00 PM,34.981,,,,
13,2020/12/23 08:00:00 PM,34.981,,,,
14,2020/12/23 08:30:00 PM,34.786,,,,
15,2020/12/23 09:00:00 PM,34.590,,,,
16,2020/12/23 09:30:00 PM,34.590,,,,
17,2020/12/23 10:00:00 PM,34.590,,,,
18,2020/12/23 10:30:00 PM,34.786,,,,
19,2020/12/23 11:00:00 PM,34.590,,,,
20,2020/12/23 11:30:00 PM,34.590,,,,
21,2020/12/24 12:00:00 AM,34.590,,,,
22,2020/12/24 12:30:00 AM,34.590,,,,
23,2020/12/24 01:00:00 AM,34.590,,,,
24,2020/12/24 01:30:00 AM,34.590,,,,
25,2020/12/24 02:00:00 AM,34.394,,,,
26,2020/12/24 02:30:00 AM,34.590,,,,
27,2020/12/24 03:00:00 AM,34.786,,,,
28,2020/12/24 03:30:00 AM,34.394,,,,
29,2020/12/24 04:00:00 AM,34.198,,,,
30,2020/12/24 04:30:00 AM,34.198,,,,
31,2020/12/24 05:00:00 AM,34.394,,,,
32,2020/12/24 05:30:00 AM,34.394,,,,
33,2020/12/24 06:00:00 AM,34.198,,,,
34,2020/12/24 06:30:00 AM,34.198,,,,
35,2020/12/24 07:00:00 AM,34.198,,,,
36,2020/12/24 07:30:00 AM,34.394,,,,
37,2020/12/24 08:00:00 AM,34.394,,,,
38,2020/12/24 08:30:00 AM,34.198,,,,
39,2020/12/24 09:00:00 AM,34.198,,,,
40,2020/12/24 09:30:00 AM,34.394,,,,
41,2020/12/24 10:00:00 AM,34.394,,,,
42,2020/12/24 10:30:00 AM,34.394,,,,
43,2020/12/24 11:00:00 AM,34.394,,,,
44,2020/12/24 11:30:00 AM,34.198,,,,
45,2020/12/24 12:00:00 PM,34.394,,,,
46,2020/12/24 12:30:00 PM,34.394,,,,
47,2020/12/24 01:00:00 PM,34.590,,,,
48,2020/12/24 01:30:00 PM,34.394,,,,
49,2020/12/24 02:00:00 PM,34.394,,,,
50,2020/12/24 02:30:00 PM,34.394,,,,
51,2020/12/24 03:00:00 PM,34.394,,,,
52,2020/12/24 03:30:00 PM,34.394,,,,
53,2020/12/24 04:00:00 PM,34.198,,,,
54,2020/12/24 04:30:00 PM,34.394,,,,
55,2020/12/24 05:00:00 PM,34.394,,,,
56,2020/12/24 05:30:00 PM,34.198,,,,
57,2020/12/24 06:00:00 PM,34.198,,,,
58,2020/12/24 06:30:00 PM,34.394,,,,
59,2020/12/24 06:58:18 PM,,Logged,Logged,,
60,2020/12/24 06:58:24 PM,,,,Logged,Logged
