"Plot Title: 2.calibrate"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 2262365, SEN S/N: 2262365)","Coupler Attached (LGR S/N: 2262365)","Host Connected (LGR S/N: 2262365)","End Of File (LGR S/N: 2262365)"
1,2020/12/23 02:00:00 PM,75.139,,,
2,2020/12/23 02:30:00 PM,34.981,,,
3,2020/12/23 03:00:00 PM,32.617,,,
4,2020/12/23 03:30:00 PM,33.411,,,
5,2020/12/23 04:00:00 PM,33.213,,,
6,2020/12/23 04:30:00 PM,33.013,,,
7,2020/12/23 05:00:00 PM,33.013,,,
8,2020/12/23 05:30:00 PM,33.013,,,
9,2020/12/23 06:00:00 PM,33.013,,,
10,2020/12/23 06:30:00 PM,33.013,,,
11,2020/12/23 07:00:00 PM,33.013,,,
12,2020/12/23 07:30:00 PM,33.013,,,
13,2020/12/23 08:00:00 PM,32.815,,,
14,2020/12/23 08:30:00 PM,32.815,,,
15,2020/12/23 09:00:00 PM,32.815,,,
16,2020/12/23 09:30:00 PM,32.815,,,
17,2020/12/23 10:00:00 PM,32.815,,,
18,2020/12/23 10:30:00 PM,32.815,,,
19,2020/12/23 11:00:00 PM,32.815,,,
20,2020/12/23 11:30:00 PM,32.815,,,
21,2020/12/24 12:00:00 AM,32.815,,,
22,2020/12/24 12:30:00 AM,32.815,,,
23,2020/12/24 01:00:00 AM,32.815,,,
24,2020/12/24 01:30:00 AM,32.815,,,
25,2020/12/24 02:00:00 AM,32.815,,,
26,2020/12/24 02:30:00 AM,32.815,,,
27,2020/12/24 03:00:00 AM,32.815,,,
28,2020/12/24 03:30:00 AM,32.815,,,
29,2020/12/24 04:00:00 AM,32.815,,,
30,2020/12/24 04:30:00 AM,32.815,,,
31,2020/12/24 05:00:00 AM,32.815,,,
32,2020/12/24 05:30:00 AM,32.815,,,
33,2020/12/24 06:00:00 AM,32.815,,,
34,2020/12/24 06:30:00 AM,32.815,,,
35,2020/12/24 07:00:00 AM,32.815,,,
36,2020/12/24 07:30:00 AM,32.815,,,
37,2020/12/24 08:00:00 AM,32.815,,,
38,2020/12/24 08:30:00 AM,32.815,,,
39,2020/12/24 09:00:00 AM,32.815,,,
40,2020/12/24 09:30:00 AM,32.815,,,
41,2020/12/24 10:00:00 AM,32.815,,,
42,2020/12/24 10:30:00 AM,32.815,,,
43,2020/12/24 11:00:00 AM,32.815,,,
44,2020/12/24 11:30:00 AM,32.815,,,
45,2020/12/24 12:00:00 PM,32.815,,,
46,2020/12/24 12:30:00 PM,32.815,,,
47,2020/12/24 01:00:00 PM,32.815,,,
48,2020/12/24 01:30:00 PM,32.815,,,
49,2020/12/24 02:00:00 PM,32.815,,,
50,2020/12/24 02:30:00 PM,32.815,,,
51,2020/12/24 03:00:00 PM,32.815,,,
52,2020/12/24 03:30:00 PM,32.815,,,
53,2020/12/24 04:00:00 PM,32.815,,,
54,2020/12/24 04:30:00 PM,32.815,,,
55,2020/12/24 05:00:00 PM,32.815,,,
56,2020/12/24 05:30:00 PM,32.815,,,
57,2020/12/24 06:00:00 PM,32.815,,,
58,2020/12/24 06:30:00 PM,32.815,,,
59,2020/12/24 06:57:22 PM,,Logged,Logged,Logged
