"Plot Title: 1.calibrate"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9786028, SEN S/N: 9786028)","Good Battery (LGR S/N: 9786028)","Coupler Attached (LGR S/N: 9786028)","Host Connected (LGR S/N: 9786028)","Stopped (LGR S/N: 9786028)","End Of File (LGR S/N: 9786028)"
1,2020/12/23 02:00:00 PM,74.791,Logged,,,,
2,2020/12/23 02:30:00 PM,58.303,,,,,
3,2020/12/23 03:00:00 PM,45.286,,,,,
4,2020/12/23 03:30:00 PM,39.384,,,,,
5,2020/12/23 04:00:00 PM,37.107,,,,,
6,2020/12/23 04:30:00 PM,35.758,,,,,
7,2020/12/23 05:00:00 PM,35.564,,,,,
8,2020/12/23 05:30:00 PM,35.370,,,,,
9,2020/12/23 06:00:00 PM,35.564,,,,,
10,2020/12/23 06:30:00 PM,35.951,,,,,
11,2020/12/23 07:00:00 PM,35.175,,,,,
12,2020/12/23 07:30:00 PM,35.175,,,,,
13,2020/12/23 08:00:00 PM,35.370,,,,,
14,2020/12/23 08:30:00 PM,35.370,,,,,
15,2020/12/23 09:00:00 PM,35.175,,,,,
16,2020/12/23 09:30:00 PM,34.981,,,,,
17,2020/12/23 10:00:00 PM,34.981,,,,,
18,2020/12/23 10:30:00 PM,35.175,,,,,
19,2020/12/23 11:00:00 PM,35.175,,,,,
20,2020/12/23 11:30:00 PM,34.981,,,,,
21,2020/12/24 12:00:00 AM,34.786,,,,,
22,2020/12/24 12:30:00 AM,34.981,,,,,
23,2020/12/24 01:00:00 AM,35.175,,,,,
24,2020/12/24 01:30:00 AM,34.981,,,,,
25,2020/12/24 02:00:00 AM,34.786,,,,,
26,2020/12/24 02:30:00 AM,34.981,,,,,
27,2020/12/24 03:00:00 AM,35.175,,,,,
28,2020/12/24 03:30:00 AM,34.786,,,,,
29,2020/12/24 04:00:00 AM,34.590,,,,,
30,2020/12/24 04:30:00 AM,34.590,,,,,
31,2020/12/24 05:00:00 AM,34.590,,,,,
32,2020/12/24 05:30:00 AM,34.786,,,,,
33,2020/12/24 06:00:00 AM,34.786,,,,,
34,2020/12/24 06:30:00 AM,34.590,,,,,
35,2020/12/24 07:00:00 AM,34.590,,,,,
36,2020/12/24 07:30:00 AM,34.786,,,,,
37,2020/12/24 08:00:00 AM,34.786,,,,,
38,2020/12/24 08:30:00 AM,34.786,,,,,
39,2020/12/24 09:00:00 AM,34.590,,,,,
40,2020/12/24 09:30:00 AM,34.590,,,,,
41,2020/12/24 10:00:00 AM,34.786,,,,,
42,2020/12/24 10:30:00 AM,34.981,,,,,
43,2020/12/24 11:00:00 AM,34.786,,,,,
44,2020/12/24 11:30:00 AM,34.786,,,,,
45,2020/12/24 12:00:00 PM,34.590,,,,,
46,2020/12/24 12:30:00 PM,34.981,,,,,
47,2020/12/24 01:00:00 PM,34.981,,,,,
48,2020/12/24 01:30:00 PM,34.981,,,,,
49,2020/12/24 02:00:00 PM,34.786,,,,,
50,2020/12/24 02:30:00 PM,34.590,,,,,
51,2020/12/24 03:00:00 PM,34.786,,,,,
52,2020/12/24 03:30:00 PM,34.981,,,,,
53,2020/12/24 04:00:00 PM,34.786,,,,,
54,2020/12/24 04:30:00 PM,34.590,,,,,
55,2020/12/24 05:00:00 PM,34.981,,,,,
56,2020/12/24 05:30:00 PM,34.786,,,,,
57,2020/12/24 06:00:00 PM,34.786,,,,,
58,2020/12/24 06:30:00 PM,34.786,,,,,
59,2020/12/24 07:00:00 PM,55.537,,,,,
60,2020/12/24 07:03:52 PM,,,Logged,Logged,,
61,2020/12/24 07:03:58 PM,,,,,Logged,Logged
